band_prefix,band_suffix,band_n,sex,territory,year,month,day,presence_absence
2661,76885,266176885,male,36,2022,6,28,1
,,bbmp,male,36,2022,7,8,1
2981,13707,298113707,male,38,2022,4,6,1
2661,76886,266176886,female,38,2022,4,6,1
2981,13707,298113707,male,38,2022,4,14,NA
2661,76886,266176886,female,38,2022,4,14,1
2981,13707,298113707,male,38,2022,4,17,1
2661,76886,266176886,female,38,2022,4,17,1
2981,13707,298113707,male,38,2022,4,25,1
2661,76886,266176886,female,38,2022,4,25,1
2981,13707,298113707,male,38,2022,5,3,1
2661,76886,266176886,female,38,2022,5,3,1
2981,13707,298113707,male,38,2022,5,16,1
2661,76886,266176886,female,38,2022,5,16,1
2981,13707,298113707,male,38,2022,5,17,1
2661,76886,266176886,female,38,2022,5,17,1
2981,13707,298113707,male,38,2022,5,25,NA
2661,76886,266176886,female,38,2022,5,25,1
2981,13707,298113707,male,38,2022,5,27,NA
2661,76886,266176886,female,38,2022,5,27,1
2981,13707,298113707,male,38,2022,6,1,1
2661,76886,266176886,female,38,2022,6,1,1
2981,13707,298113707,male,38,2022,6,4,NA
2661,76886,266176886,female,38,2022,6,4,NA
2981,13707,298113707,male,38,2022,6,5,1
2661,76886,266176886,female,38,2022,6,5,0
2981,13707,298113707,male,38,2022,6,15,1
2661,76886,266176886,female,38,2022,6,15,0
2981,13707,298113707,male,38,2022,6,21,1
2661,76886,266176886,female,38,2022,6,21,0
2981,13707,298113707,male,38,2022,6,22,NA
2661,76886,266176886,female,38,2022,6,22,0
2661,76886,266176886,female,38,2022,6,25,NA
2981,13707,298113707,male,38,2022,6,25,1
2661,76886,266176886,female,38,2022,6,26,NA
2981,13707,298113707,male,38,2022,6,26,1
2981,13707,298113707,male,38,2022,6,26,1
2981,13707,298113707,male,38,2022,6,28,1
2661,76886,266176886,female,38,2022,6,28,0
2981,13707,298113707,male,38,2022,7,6,NA
2661,76886,266176886,female,38,2022,7,6,0
2981,13824,298113824,female,10A,2022,4,6,1
2661,76971,266176971,male,10A,2022,4,6,1
2661,76971,266176971,male,10A,2022,4,17,1
2981,13824,298113824,female,10A,2022,4,17,1
2981,13824,298113824,female,10A,2022,4,22,1
2661,76971,266176971,male,10A,2022,4,22,1
2981,13824,298113824,female,10A,2022,4,25,1
2661,76971,266176971,male,10A,2022,4,25,1
2981,13824,298113824,female,10A,2022,4,27,1
2661,76971,266176971,male,10A,2022,4,27,1
2981,13824,298113824,female,10A,2022,5,3,1
2661,76971,266176971,male,10A,2022,5,3,1
2981,13824,298113824,female,10A,2022,5,9,1
2661,76971,266176971,male,10A,2022,5,9,1
2661,76971,266176971,male,10A,2022,5,11,1
2981,13824,298113824,female,10A,2022,5,11,0
2661,76971,266176971,male,10A,2022,5,16,1
2981,13824,298113824,female,10A,2022,5,16,0
2981,13824,298113824,female,10A,2022,5,17,1
2661,76971,266176971,male,10A,2022,5,17,0
2981,13824,298113824,female,10A,2022,5,26,0
2661,76971,266176971,male,10A,2022,5,26,0
2981,13824,298113824,female,10A,2022,6,1,0
2661,76971,266176971,male,10A,2022,6,1,0
2981,13824,298113824,female,10A,2022,6,5,1
2661,76971,266176971,male,10A,2022,6,5,1
2981,13824,298113824,female,10A,2022,6,6,1
2661,76971,266176971,male,10A,2022,6,6,1
2661,76971,266176971,male,10A,2022,6,8,1
2981,13824,298113824,female,10A,2022,6,8,0
2981,13824,298113824,female,10A,2022,6,20,1
2661,76971,266176971,male,10A,2022,6,20,1
2981,13824,298113824,female,10A,2022,6,22,1
